Date,Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Condition
2024-12-01,20.0,0.0,64,3.7,Haze
2024-12-02,20.0,0.0,64,3.7,Haze
2024-12-03,20.0,0.0,64,3.7,Haze
2024-12-04,20.0,0.0,64,3.7,Haze
2024-12-05,20.0,0.0,64,3.7,Haze
2024-12-06,20.0,0.0,64,3.7,Haze
2024-12-07,20.0,0.0,64,3.7,Haze
2024-12-08,20.0,0.0,64,3.7,Haze
2024-12-09,20.0,0.0,64,3.7,Haze
2024-12-10,20.0,0.0,64,3.7,Haze
2024-12-11,20.0,0.0,64,3.7,Haze
2024-12-12,20.0,0.0,64,3.7,Haze
2024-12-13,20.0,0.0,64,3.7,Haze
2024-12-14,20.0,0.0,64,3.7,Haze
2024-12-15,20.0,0.0,64,3.7,Haze
2024-12-16,20.0,0.0,64,3.7,Haze
2024-12-17,20.0,0.0,64,3.7,Haze
2024-12-18,20.0,0.0,64,3.7,Haze
2024-12-19,20.0,0.0,64,3.7,Haze
2024-12-20,20.0,0.0,64,3.7,Haze
